id,claim,verdict,explanation,source_url
1,Drinking hot water kills coronavirus,FALSE,"There is no scientific evidence that drinking hot water can kill coronavirus. The virus infects respiratory tract cells and cannot be flushed out by hot water.",https://www.altnews.in/hot-water-does-not-kill-coronavirus/
2,5G towers spread COVID-19,FALSE,"5G technology uses radio waves which cannot carry viruses. COVID-19 is caused by the SARS-CoV-2 virus and spreads through respiratory droplets.",https://factly.in/5g-towers-do-not-spread-covid-19/
3,Cow urine cures COVID-19,FALSE,"There is no scientific evidence supporting the claim that cow urine has any antiviral properties against SARS-CoV-2.",https://www.altnews.in/no-cow-urine-does-not-cure-covid-19/
4,Eating garlic prevents COVID-19 infection,MISLEADING,"While garlic has some antimicrobial properties, there is no evidence it can prevent COVID-19 infection. WHO has confirmed this.",https://www.factchecker.in/garlic-does-not-prevent-covid-19/
5,Indian government is giving Rs 5000 to every citizen under PM relief fund,FALSE,"This is a fake message. The government has not announced any such scheme giving Rs 5000 to every citizen. PIB fact check has debunked this.",https://pibfactcheck.in/no-rs-5000-scheme/
6,WhatsApp will start charging Rs 499 per month,FALSE,"WhatsApp has repeatedly clarified that the app will remain free for users. This is a recurring hoax.",https://www.altnews.in/whatsapp-is-free-and-will-remain-free/
7,Mixing Disprin with Coca-Cola creates poison,FALSE,"Mixing aspirin with cola does not create poison. This is a long-running urban legend with no scientific basis.",https://www.factchecker.in/disprin-cola-not-poisonous/
8,NASA confirmed 15 days of darkness in November,FALSE,"NASA has never made such a claim. This hoax has been circulating since 2015 and resurfaces periodically.",https://www.altnews.in/nasa-15-days-darkness-hoax/
9,RBI announced old Rs 100 notes will be invalid from next month,FALSE,"RBI has not made any such announcement. Old Rs 100 notes continue to be legal tender.",https://pibfactcheck.in/rs-100-notes-valid/
10,गर्म पानी पीने से कोरोना वायरस मर जाता है,FALSE,"गर्म पानी पीने से कोरोना वायरस नहीं मरता। यह वायरस श्वसन तंत्र को संक्रमित करता है और गर्म पानी से नहीं निकलता।",https://www.altnews.in/hot-water-corona-hindi/
11,गोमूत्र से कोरोना ठीक होता है,FALSE,"गोमूत्र में कोई वैज्ञानिक रूप से सिद्ध एंटीवायरल गुण नहीं हैं जो COVID-19 का इलाज कर सकें।",https://www.altnews.in/gomutra-corona-hindi/
12,सरकार हर नागरिक को 10000 रुपये दे रही है,FALSE,"यह फर्जी संदेश है। सरकार ने ऐसी कोई योजना घोषित नहीं की है। PIB ने इसे खारिज किया है।",https://pibfactcheck.in/fake-10000-scheme-hindi/
13,व्हाट्सएप पर ब्लू टिक का मतलब पुलिस देख रही है,FALSE,"ब्लू टिक का मतलब है कि संदेश पढ़ा गया है। इसका पुलिस निगरानी से कोई संबंध नहीं है।",https://www.factchecker.in/blue-tick-not-police/
14,चांद पर भारत का झंडा लगा दिया गया है,MISLEADING,"चंद्रयान-3 ने चांद पर सफल लैंडिंग की, लेकिन वायरल तस्वीर फोटोशॉप्ड है।",https://www.altnews.in/chandrayaan-flag-misleading/
15,मोबाइल फोन से ब्रेन कैंसर होता है,MISLEADING,"WHO ने मोबाइल रेडिएशन को 'संभवतः कैंसरकारी' श्रेणी में रखा है, लेकिन प्रत्यक्ष कारण साबित नहीं हुआ है।",https://www.factchecker.in/mobile-brain-cancer-hindi/
16,पेट्रोल में नमक डालने से माइलेज बढ़ता है,FALSE,"पेट्रोल में नमक डालने से इंजन खराब हो सकता है। यह पूरी तरह झूठा दावा है।",https://www.altnews.in/petrol-salt-false/
17,आधार कार्ड लिंक नहीं करने पर बैंक अकाउंट बंद हो जाएगा,MISLEADING,"सरकार ने आधार लिंकिंग की समय सीमा कई बार बढ़ाई है। अकाउंट तुरंत बंद नहीं होता।",https://pibfactcheck.in/aadhaar-linking-deadline/
18,Old photo of a bridge collapse shared as recent incident in Bihar,FALSE,"The viral image is from a 2016 bridge collapse in a different state. It has been falsely attributed to a recent event in Bihar.",https://www.altnews.in/old-bridge-collapse-not-bihar/
19,Nehru quote about preferring China over India is authentic,FALSE,"This quote attributed to Nehru is fabricated. No credible historical source contains this statement.",https://www.factchecker.in/fake-nehru-quote/
20,India has the highest number of vegetarians in the world,TRUE,"Multiple surveys including by FAO and census data confirm India has the largest vegetarian population globally, estimated at 20-39% of the population.",https://www.factchecker.in/india-vegetarian-population/
21,Lemon water and baking soda cure cancer,FALSE,"There is no scientific evidence that lemon water or baking soda can cure cancer. This is a dangerous health myth.",https://www.altnews.in/lemon-baking-soda-cancer-false/
22,Government will ban cryptocurrency in India permanently,MISLEADING,"While India has discussed crypto regulation multiple times, no permanent ban has been implemented. The Crypto Tax was introduced in Budget 2022.",https://www.factchecker.in/crypto-ban-india-misleading/
23,Free laptop distribution scheme by central government for all students,FALSE,"The central government has not announced any pan-India free laptop scheme. Some state-level schemes exist but viral messages exaggerate their scope.",https://pibfactcheck.in/free-laptop-scheme-fake/
24,Chandrayaan-3 found water on the moon surface,MISLEADING,"Chandrayaan-1 confirmed presence of water molecules on the lunar surface. Chandrayaan-3 Pragyan rover detected sulphur but the viral claim overstates findings.",https://www.altnews.in/chandrayaan-water-misleading/
25,Eating ice cream causes cold and cough,FALSE,"Medical research shows that cold food does not directly cause common cold which is caused by viruses. This is a widespread myth.",https://www.factchecker.in/ice-cream-cold-myth/
26,Pakistan cricket team refused to stand for Indian national anthem,FALSE,"This viral claim is based on an edited video. The original footage shows both teams standing respectfully during both anthems.",https://www.altnews.in/pakistan-anthem-false-claim/
27,ISRO scientist salary is less than a peon in government office,FALSE,"ISRO scientist salaries are competitive and follow government pay commission scales. This comparison is misleading and factually incorrect.",https://www.factchecker.in/isro-salary-false/
